time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-0.787149635306,-0.854608860248,0,0,0,0.434978688213,-1.74763876173,-0.32130544656,0,0,-0.0137178197853,0.749506600532,-1.26465422003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372993209293,0.0732436887189,0,0,0,0,0,0,0
0.5,-0.76111220741,-0.852149042718,0,0,0,0.413464832078,-1.23903159348,-0.247513437646,0,0,-0.0192404857642,1.15802853035,-0.662435174485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393501468336,0.0835647293464,0,0,0,0,0,0,0
0.75,-0.742297743857,-0.90433758406,0,0,0,0.455766640121,-0.748187521629,-0.300825883255,0,0,-0.0375802189827,1.39958898127,-0.541524174432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356493407227,0.0817097935542,0,0,0,0,0,0,0
1.0,-0.668793681148,-0.966906162803,0,0,0,0.521859282597,-0.796355935567,-0.375062427789,0,0,-0.104685506885,1.57984735943,-0.560231939467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16892104997,0.0460902517982,0,0,0,0,0,0,0
1.25,-0.612792599851,-0.965392412436,0,0,0,0.515660928456,-0.960075210754,-0.314060466625,0,0,-0.115532401802,1.70270812268,-0.468391848365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934499840923,0.0278880723548,0,0,0,0,0,0,0
1.5,-0.719634962342,-0.919224845317,0,0,0,0.571283278621,-0.830387091148,-0.544369138616,0,0,-0.0829564625278,1.84797571208,-0.413811981133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341548620351,0.0832708862236,0,0,0,0,0,0,0
1.75,-0.772168012771,-0.91328514835,0,0,0,0.591641225024,-0.81863141178,-0.575838282227,0,0,-0.0648861042934,1.83916731241,-0.28741429234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43732555917,0.0975798411438,0,0,0,0,0,0,0
2.0,-0.773566005181,-0.829600717139,0,0,0,0.437204042402,-1.41517979618,-0.801636332928,0,0,0.00216264948608,1.69812562382,-0.192759585824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503798737067,0.108069415682,0,0,0,0,0,0,0
2.25,-0.816688016358,-0.829239952183,0,0,0,0.303648351107,-0.644547733235,-1.14757247134,0,0,-0.0501983431656,2.02879565715,-0.22421136851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540312921818,0.118853561072,0,0,0,0,0,0,0
